heightwholenum,framemat,framefunc,widthWholeNum,lift,itemset,locationtype,leadmechanic,TotalInstallationTime,LongCarry
26,,,31,24,VINYL BEADS,9,6,25,NULL
33,,,31,60,,9,6,55,NULL
39,,FIXED,45,40,VINYL BEADS,9,228,35,NULL
52,VINYL,SLIDER,32,15,VINYL BEADS,1,118,40,NULL
60,,SLIDER,31,21,,9,132,75,NULL
29,,FIXED,26,49,VINYL BEADS,9,90,20,NULL
52,,SLIDER,48,28,WRAP AROUND FRAME,10,228,80,NULL
27,,FIXED,31,36,SNAP BEADS,9,228,55,NULL
51,ALUMINUM,FLUSH GLAZE,18,38,,2,118,15,NULL
34,,,24,56,PUTTY,5,118,75,NULL
33,,,25,33,WRAP AROUND FRAME,9,228,30,NULL
25,,BOTTOM SH,31,33,SNAP BEADS,11,118,60,NULL
0,,,0,40,,4,228,50,NULL
40,,SIDELITE,23,52,WOOD BEADS,9,228,20,NULL
59,,,44,24,SNAP BEADS,10,211,45,1
23,STEEL,SIDELITE,17,2,SCREW BEADS,9,6,65,NULL
44,ANDERSEN,CASEMENT SASH,20,18,VINYL BEADS,2,211,40,NULL
59,,FIXED,29,21,SNAP BEADS,9,228,85,NULL
53,,,45,36,SNAP BEADS,2,90,80,NULL
37,,BOTTOM SH,50,37,SNAP BEADS,2,118,90,NULL
55,,,45,38,SCREW BEADS,6,6,70,NULL
50,ALUMINUM,FLUSH GLAZE,38,32,PUSH RUBBER,2,211,60,NULL
91,STEEL,,20,2,SCREW BEADS,11,90,45,NULL
22,ALUMINUM,,39,11,SNAP BEADS,2,118,25,NULL
69,,,54,31,SNAP BEADS,4,6,55,NULL
61,,,30,40,SCREW BEADS,2,62,55,NULL
10,WOOD,FIXED,7,44,PUTTY,1,62,30,NULL
65,ALUMINUM,CURTAINWALL,23,32,PRESSURE PLATE,2,90,50,NULL
13,,BOTTOM SH,27,48,SNAP BEADS,1,228,20,NULL
40,VINYL,FIXED,20,19,SNAP BEADS,9,228,55,NULL
32,ALUMINUM,CURTAINWALL,65,98,PRESSURE PLATE,2,90,60,NULL
47,,,43,28,VINYL BEADS,9,62,30,NULL
26,,FIXED,68,68,SNAP BEADS,9,118,75,NULL
35,,,38,7,VINYL BEADS,9,228,35,NULL
42,VINYL,SLIDER,21,38,SNAP BEADS,9,62,40,NULL
42,VINYL,SLIDER,33,39,SNAP BEADS,9,62,35,NULL
79,,SIDELITE,49,4,SNAP BEADS,2,228,45,NULL
110,ALUMINUM,FLUSH GLAZE,30,43,,2,211,55,NULL
68,,SASH RAIL,41,18,,2,118,65,NULL
47,,,38,240,PUTTY,2,118,130,NULL
16,,,23,69,PUTTY,13,11,45,NULL
43,ALUMINUM,FIXED,42,32,VINYL BEADS,9,118,55,NULL
56,ANDERSEN,FIXED,55,84,,1,211,85,NULL
31,,,46,46,,9,118,40,NULL
18,,,12,51,,2,228,30,NULL
32,,BOTTOM SH,31,27,WRAP AROUND RUBBER,9,228,65,NULL
103,SASH RAIL,SIDELITE,46,27,,7,211,60,NULL
92,ALUMINUM,CURTAIN WALL,49,26,,2,211,85,NULL
82,ALUMINUM,SIDELITE,51,1,SNAP BEADS,6,228,40,NULL
58,ALUMINUM,FLUSH GLAZE,50,25,,2,90,25,NULL
27,,,16,36,SNAP BEADS,5,90,60,NULL
22,,,30,34,VINYL BEADS,0,211,25,NULL
18,,,29,60,VINYL BEADS,9,211,20,NULL
56,,SLIDER,22,21,WRAP AROUND RUBBER,9,90,30,NULL
148,,,82,4,,10,6,165,NULL
82,,FINTUBE SIDELITE,21,2,SCREW BEADS,2,118,90,NULL
74,,,44,29,WOOD BEADS,2,118,90,NULL
18,,,42,216,PUTTY,13,228,60,NULL
36,,,48,216,SCREW BEADS,2,6,85,NULL
41,VINYL,SLIDER,21,35,SNAP BEADS,9,62,40,NULL
40,,BOTTOM SH,34,36,WRAP AROUND RUBBER,2,6,20,NULL
39,,FIXED,31,40,WRAP AROUND FRAME,9,62,15,NULL
47,,,63,36,,12,90,145,NULL
32,ALUMINUM,FIXED,28,8,VINYL BEADS,9,118,30,NULL
44,ALUMINUM,SLIDER,28,108,SNAP BEADS,9,118,35,NULL
32,ALUMINUM,FIXED,28,8,VINYL BEADS,9,118,45,NULL
52,,FIXED,25,40,WRAP AROUND FRAME,9,6,75,NULL
71,,,53,39,PUSH RUBBER,2,211,95,NULL
54,,SLIDER,28,25,SNAP BEADS,9,211,35,NULL
54,ALUMINUM,FLUSH GLAZE,39,36,,2,118,25,NULL
82,ALUMINUM,FLUSH GLAZE,20,6,,9,6,10,NULL
15,,,20,40,PUTTY,1,211,35,NULL
49,,,22,72,,9,228,95,NULL
74,SASH RAIL,,58,30,,2,6,75,NULL
30,ALUMINUM,,78,2,PUSH RUBBER,10,211,90,NULL
33,,,31,27,VINYL BEADS,9,118,65,NULL
26,,,42,60,SNAP BEADS,12,228,75,NULL
26,,,42,60,SNAP BEADS,12,228,70,NULL
19,ALUMINUM,FLUSH GLAZE,51,84,,2,228,15,NULL
116,ALUMINUM,FLUSH GLAZE,40,10,,2,6,30,NULL
16,STEEL SASH,,22,68,PUTTY,2,228,35,NULL
26,,BOTTOM SH,36,72,VINYL BEADS,5,137,55,NULL
59,ALUMINUM,FIXED,23,27,SNAP BEADS,5,6,50,NULL
30,,,22,96,PUTTY,1,228,35,NULL
106,ALUMINUM,FLUSH GLAZE,41,10,,2,211,55,NULL
24,ANDERSEN,,33,36,,1,118,45,NULL
59,ALUMINUM,FLUSH GLAZE,55,36,,6,6,15,NULL
102,ALUMINUM,CURTAINWALL,68,18,PRESSURE PLATE,2,90,85,NULL
43,VINYL,FIXED,16,36,SNAP BEADS,1,118,40,NULL
16,ALUMINUM,FLUSH GLAZE,16,36,,2,228,15,NULL
57,ALUMINUM,FIXED,67,34,SNAP BEADS,5,211,105,NULL
63,ALUMINUM,FLUSH GLAZE,33,33,,1,118,35,NULL
42,,,38,51,ZIPPER WALL,12,90,155,NULL
43,VINYL,SLIDER,27,35,SNAP BEADS,1,118,35,NULL
12,,,35,84,WOOD BEADS,9,118,55,NULL
68,WOOD,FIXED,68,12,WOOD BEADS,1,228,115,NULL
42,,SLIDER,33,40,VINYL BEADS,9,228,40,NULL
40,,SIDELITE,23,8,WOOD BEADS,9,6,30,NULL
54,,FIXED,48,68,PUTTY,1,6,45,NULL
61,WOOD,FIXED,27,17,WOOD BEADS,1,118,60,NULL
60,ALUMINUM,FIXED,50,19,SNAP BEADS,1,6,105,NULL
67,,,44,36,,2,211,30,NULL
30,ALUMINUM,FLUSH GLAZE,61,84,,2,6,35,NULL
56,ANDERSEN,,55,124,SNAP BEADS,0,6,115,NULL
69,SASH RAIL,,106,32,,1,211,90,NULL
28,VINYL,FIXED,20,44,SNAP BEADS,9,62,35,NULL
45,,FIXED,32,36,VINYL BEADS,9,211,30,NULL
42,VINYL,FIXED,46,46,VINYL BEADS,9,211,35,NULL
22,,,18,240,WOOD BEADS,5,211,65,NULL
75,ALUMINUM,PATIO SLIDER,45,168,WRAP AROUND RUBBER,9,228,45,NULL
57,ALUMINUM,FIXED,41,36,SNAP BEADS,5,118,70,NULL
